Rk,Player,Position,Age,Team,Games,Minutes played per game,Field Goal Percentage,Points per game
268,Wesley Johnson,SF,31,NOP,26,14.5,0.398,3.7
268,Wesley Johnson,SF,31,WAS,12,13.1,0.25,2.8
276,DeAndre Jordan,C,30,DAL,50,31.1,0.644,11
276,DeAndre Jordan,C,30,NYK,19,25.9,0.634,10.9
279,Enes Kanter,C,26,NYK,44,25.6,0.536,14
279,Enes Kanter,C,26,POR,23,22.3,0.577,13.1
284,Brandon Knight,PG,27,HOU,12,9.8,0.234,3
284,Brandon Knight,PG,27,CLE,27,22.9,0.413,8.5
288,Kyle Korver,PF,37,CLE,16,15.7,0.461,6.8
288,Kyle Korver,SG,37,UTA,54,20.1,0.408,9.1
292,Skal Labissi¨¨re,PF,22,SAC,13,8.7,0.433,2.8
292,Skal Labissi¨¨re,PF,22,POR,9,7,0.684,3.4
297,Courtney Lee,SG,33,NYK,12,13.3,0.447,4.7
297,Courtney Lee,SG,33,DAL,22,12.2,0.39,3.6
306,Jeremy Lin,PG,30,ATL,51,19.7,0.466,10.7
306,Jeremy Lin,PG,30,TOR,23,18.8,0.374,7
316,Timoth¨¦ Luwawu-Cabarrot,SF,23,OKC,21,5.9,0.302,1.7
316,Timoth¨¦ Luwawu-Cabarrot,SF,23,CHI,29,18.8,0.394,6.8
320,Shelvin Mack,PG,28,MEM,53,22.7,0.414,7.9
320,Shelvin Mack,PG,28,CHO,4,10.5,0.143,2.3
324,Thon Maker,C,21,MIL,35,11.7,0.44,4.7
324,Thon Maker,PF,21,DET,29,19.4,0.373,5.5
325,Boban Marjanovi?,C,30,LAC,36,10.4,0.607,6.7
325,Boban Marjanovi?,C,30,PHI,22,13.9,0.625,8.2
330,Wesley Matthews,SF,32,DAL,44,29.8,0.414,13.1
330,Wesley Matthews,SG,32,NYK,2,27,0.211,7
330,Wesley Matthews,SG,32,IND,23,31.5,0.386,10.9
333,Patrick McCaw,SG,23,CLE,3,17.7,0.222,1.7
333,Patrick McCaw,SG,23,TOR,26,13.2,0.444,2.7
347,C.J. Miles,SF,31,TOR,40,14.1,0.34,5.5
347,C.J. Miles,SF,31,MEM,13,22.6,0.4,9.3
353,Nikola Miroti?,PF,27,NOP,32,28.9,0.447,16.7
353,Nikola Miroti?,PF,27,MIL,14,22.9,0.415,11.6
357,Greg Monroe,C,28,TOR,38,11.1,0.46,4.8
357,Greg Monroe,C,28,BOS,2,2.5,0.6,3
